ID;Housing_informality;Labor_informality;Unemployment;Tertiary_education;Female_household;Children;Population;Area;Housing_informality_2011
78;14.28338;41.65336;6.491567;2.09537;12.56242;9.946706;17235.96;348313.5;16.94915
80;6.029792;17.69039;0;39.46268;14.89805;3.08702;20535.01;1541439;0
82;3.033868;56.28141;8.563733;1.157318;20.92199;6.982592;7751.637;508766.4;22.85714
85;3.703444;53.84784;16.12854;1.086889;14.12956;14.13162;8295.846;460121.3;34.14634
86;15.15683;40.21563;2.998247;5.239655;11.35422;7.423252;20626.42;630105.7;15.18987
87;0;18.60684;6.5204;19.38848;16.32776;4.082328;8845.22;605096.8;0
88;0;29.52292;6.355669;13.42155;17.91992;0.7434615;12119.84;1311249;2.777778
89;0;10.19956;0;39.49937;23.52645;1.68136;10721.26;1351214;0
90;17.11494;40.00049;10.40301;1.690979;11.83663;4.589049;37355.85;725832.5;17.94059
91;9.1071;39.5316;4.455188;2.707713;10.81437;4.511372;9994.875;779915.3;35.81891
92;12.50444;46.14503;13.33523;0;12.94224;5.883974;7681.591;264761.1;36.97771
93;11.3505;42.95456;12.372;2.44808;16.32635;5.102804;44218.57;1053641;12.4031
94;11.02946;44.87482;4.005749;4.979791;13.83306;8.822126;23532.16;575375.4;12.25849
95;2.438858;17.77667;13.46081;7.856671;16.42759;3.571214;12634.17;293176.3;0
96;13.95392;45.46118;5.178376;0;11.81146;6.208425;14531.94;229637.3;19.60206
97;18.75;59.375;8.571428;0.9433962;18.86792;7.54717;9557.667;173909.3;18.75
98;6.382663;44.89369;5.768714;1.265711;13.28996;9.494305;14245.71;436299.8;7.240437
101;11.98218;33.33301;0;11.11989;19.75521;6.190608;7319.876;250789.1;4.01487
102;4.76218;17.2358;1.695113;25.00277;17.74387;4.837903;11186.84;569785.8;0
103;2.131175;12.29248;10.90835;28.02801;15.38557;4.190837;12851.04;422588.8;0
104;13.96517;45.20808;5.201257;8.980541;13.17126;5.387382;15052.58;376410.8;0
105;0;39.99887;4.499416;16.57416;17.67893;0.5523835;16333.78;535727.5;1.470588
107;0;22.58317;6.061242;12.32899;16.43391;4.109663;6587.301;365432.6;11.11694
108;5.262997;37.86307;9.645866;3.234913;12.22868;5.036176;25095.33;416263.6;9.304739
109;8.773374;42.64443;9.330945;2.094749;18.32375;6.80654;17234;282179.6;11.28743
110;15.00493;55.17609;10.08012;0.3418134;13.64925;4.77884;26446.17;561270;18.26149
112;17.14286;61.72839;13.82979;0.3921569;10.19608;6.666667;23051.12;705918.9;29.72215
113;0;20.08305;0;44.36415;14.13732;2.662303;10156.42;1228395;0
114;6.445336;18.74681;5.010301;22.67758;14.52828;6.4806;14339.17;414278.9;2.535211
115;1.510959;16.43374;5.178955;18.441;14.43291;4.47095;18151.16;666759.7;4.615385
116;6.974047;24.99616;4.346708;5.064672;12.65954;12.02271;14244.42;233074.1;2.222222
119;17.39133;43.21218;13.83359;7.909649;17.67088;4.185814;19391.07;1424666;22.72727
120;18.41412;36.95924;25.79722;0.6937952;9.725675;9.030739;12981.18;427326.8;15.15152
121;0;24.54865;3.394592;24.33862;13.5263;0.6769375;13300.64;591462.3;0
122;4.584631;38.49188;4.163316;6.35213;13.78068;5.235715;32698.01;667023.5;6.526724
124;6.435714;42.24562;11.23866;5.594533;15.82362;7.901885;19415.75;591540.6;8.450705
125;5.263158;18.66667;9.638555;8.571428;12.85714;5.714286;18937.62;679463.3;1.449275
126;9.090909;47.05882;0;1.333333;17.33333;6.666667;6779.741;143575.7;25.97765
127;6.060606;30.43478;4.166667;3.773585;13.20755;2.830189;9563.796;393483.9;9.976798
129;13.53229;43.62999;11.28886;0;12.32673;10.27228;13163.79;237227.8;12.72291
131;6.024322;47.16002;9.398383;0;12.22834;7.917027;10458.43;290065.5;0
133;7.692307;37.2093;6.521739;5.511811;17.32283;3.937008;11460.31;249134.9;9.090909
137;8.70795;25.02323;16.67312;7.689742;21.53604;3.075897;5844.807;240913.2;8.695652
138;17.1427;52.78326;9.996445;0;17.43031;5.504994;9832.1;307309.1;28.63654
139;7.785653;36.89738;6.003322;4.52102;15.20875;9.387971;27952.12;662364.9;9.629483
140;0;18.62873;11.9629;30.09916;13.99215;4.897663;12922.86;513232.7;0
141;11.76842;34.03502;2.083566;5.845379;7.79035;7.793839;13854.52;159816.7;3.846154
144;0;33.40181;4.52908;16.39289;23.64817;1.810328;4969.091;368051.4;0
146;0;15.23448;6.356811;26.80182;16.66758;3.571457;15156.08;632712.8;0
147;0;31.81824;0;8.510887;18.08433;6.383011;8477.731;625685.1;2.315422
149;8.505321;34.36322;8.579757;6.247719;13.88787;1.388143;12971.19;373306.6;11.11111
151;8.43106;40.1733;7.436218;5.351871;12.37461;4.347784;26883.94;581080.3;4.347826
152;9.516734;17.3786;9.797462;8.59797;16.40766;3.905781;11555.75;624465.3;2.941176
153;0;9.615385;0;54.73684;8.421053;1.052632;8562.494;661060.9;0
157;9.773214;36.58622;14.62397;4.797153;18.39724;4.800029;11303.63;598562.8;12.0178
158;2.084735;11.88941;9.005597;30.07591;21.54966;2.318379;11686.34;1471855;0
159;11.6415;47.70543;5.795289;0;15.85822;8.982363;13079.21;213102.2;14.39139
161;6.666699;31.42871;0;0;10.78422;9.803819;9221.774;494554.4;51.72414
166;16.22974;21.05119;2.560673;21.06082;16.66247;5.260629;10251.52;410878;2.439024
167;10.35008;52.03716;12.04236;1.362542;15.45673;7.270538;19848.5;341822.4;27.04722
168;0;15.15563;0;18.74891;12.49636;4.171284;8671.507;291121;0
170;0;9.03573;2.91809;39.51497;17.09779;1.305297;6837.523;432169.8;20.74074
171;3.293329;13.01478;8.07336;22.90196;14.85564;4.897171;14719.77;1227684;5.886736
172;5.552548;23.61168;7.686478;6.950152;15.03195;4.044907;15584.07;659674.8;6.756757
173;15.49084;40.84991;5.104949;0.3794456;15.14956;8.334881;23823.32;446914.1;12.2884
174;26.45904;42.41959;23.23343;0.8548959;19.65804;5.981989;10575.55;600570.3;50
175;15.05612;23.20074;12.4922;11.58651;14.27665;4.083036;13307;569393.7;0
177;16.17972;31.00289;4.278656;6.958785;16.83505;5.94846;9079.243;322954.5;8.551577
178;3.983313;34.50104;18.72316;5.142819;12.83376;0;6981.074;236363.6;0
179;2.039268;45.4565;15.38562;6.977258;13.95206;3.488138;15509.67;512906.6;6.818182
180;0;12.89582;3.126097;36.99445;21.91542;4.105935;6577.239;486379.4;0
181;3.515842;19.99438;4.416224;32.73594;14.87941;2.380767;15098.14;554689.9;2
182;19.05616;61.54005;7.114049;3.376083;10.10408;4.489357;7995.944;219536.8;5.882353
183;1.911293;13.09864;1.554649;24.47388;13.42419;5.019016;13583.46;649420.3;3.969754
184;2.635226;28.61275;6.673796;5.935114;11.8743;8.484257;10652.3;1007457;11.15767
187;10.41502;43.28941;12.99223;1.649016;13.18546;3.846143;16419.27;406641.8;24.54031
189;5.266112;44.77974;11.92412;7.973607;19.02491;5.309274;20344.77;597911.8;9.862759
192;2.722269;13.76641;0;34.92101;18.98514;6.198915;8480.9;965409.6;0
193;4.938174;43.46754;4.165422;3.744778;16.4759;6.366492;24088.38;761984.9;6.97975
194;0;23.91304;6.122449;14.54545;10.90909;10.90909;9926.25;472299.1;0
196;11.99614;49.98455;3.702602;3.076163;19.99506;7.690406;5861.071;228221.9;24.40143
197;0;12.5;4.000001;31.37968;15.68474;3.268364;13774.29;696690.7;0
198;4.348705;35.59463;3.279325;6.536515;15.68509;3.267981;13795.05;354340.3;5.880177
